"URL";"Dateipfad";"Meta-Titel";"Titel-Länge";"Meta-Description";"Description-Länge";"Description fehlt"
"/anlagen/";"anlagen/index.html";"RLT-Anlagen & Spezialanlagen | Igienair";"39";"Reinigung, Inspektion und Wartung für Lüftungs-, Klima- und Spezialanlagen. Alle Igienair-Leistungen nach VDI und DIN im Überblick.";"131";"Nein"
"/anlagen/kuechenabluftsysteme/";"anlagen/kuechenabluftsysteme/index.html";"Küchenabluftreinigung nach VDI 2052 | Igienair";"46";"Reinigung und Brandschutz für gewerbliche Küchenabluftsysteme nach VDI 2052. Igienair entfernt Fettablagerungen und reduziert Brandrisiken.";"139";"Nein"
"/anlagen/kuehlregale/";"anlagen/kuehlregale/index.html";"Kühlregale reinigen & desinfizieren | Igienair";"46";"Hygienische Reinigung von Kühlregalen für Lebensmittelbetriebe: Ablagerungen entfernen, Effizienz steigern, Hygieneanforderungen erfüllen.";"138";"Nein"
"/anlagen/kuehlsysteme/";"anlagen/kuehlsysteme/index.html";"Kühlsysteme & Klimatechnik hygienisch warten | Igienair";"55";"Reinigung und Hygienewartung von Kühlsystemen und Klimatechnik. Igienair verhindert Ablagerungen, Keimbildung und Leistungsverluste.";"132";"Nein"
"/anlagen/kuehlturmreinigung/";"anlagen/kuehlturmreinigung/index.html";"Verdunstungskühlanlage Reinigung » Kühlturm Reinigung";"53";"Verdunstungskühlanlage Reinigung ✅ Kühlturm Reinigung gemäß 42. BImSchV ✅ und VDI 2047-2 ✅ durch Experten";"105";"Nein"
"/anlagen/laborabzuege/";"anlagen/laborabzuege/index.html";"Digestorium: Die Laborabzug Prüfung nach DIN EN 14175 | Igienair";"64";"Prüfung, Validierung und Wartung von Laborabzügen und Digestorien nach DIN EN 14175. Sicherer Betrieb durch Igienair-Spezialisten.";"130";"Nein"
"/anlagen/lueftungsanlagenreinigung/";"anlagen/lueftungsanlagenreinigung/index.html";"Lüftungsanlagenreinigung: Die RLT Anlage Wartung V | Igienair";"61";"Professionelle RLT-Anlagenreinigung nach VDI 6022 und DIN EN 15780. Igienair reinigt Lüftungsgeräte, Kanäle und Komponenten normgerecht.";"136";"Nein"
"/anlagen/lueftungsreinigung/";"anlagen/lueftungsreinigung/index.html";"Lüftungsreinigung VDI 6022 schützt Kunden und Mitarbeiter";"57";"Professionelle Lüftungsreinigung für Büros, Gastronomie und Industrie nach VDI 6022. Zertifizierte Experten – jetzt Angebot anfordern.";"134";"Nein"
"/anlagen/luftkanalreinigung/";"anlagen/luftkanalreinigung/index.html";"Luftkanalreinigung » Reinigung Lüftungskanäle nach VDI 6022";"59";"Gründliche Luftkanalreinigung nach VDI 6022 und DIN EN 15780. Igienair entfernt Verunreinigungen und verbessert die Raumluftqualität nachhaltig.";"144";"Nein"
"/anlagen/op-raum-pruefung/";"anlagen/op-raum-pruefung/index.html";"OP Raum Prüfung und RLT Anlage Prüfung | Igienair";"49";"Prüfung und Abnahme von OP-Räumen nach DIN EN 1946-4. Igienair validiert Luftführung, Druckverhältnisse und hygienische Anforderungen.";"134";"Nein"
"/anlagen/prozessabluft-und-entrauchungsanlagen/";"anlagen/prozessabluft-und-entrauchungsanlagen/index.html";"Prozessabluft & Entrauchungsanlagen - Igienair GmbH";"51";"Reinigung und Inspektion von Prozessabluft- und Entrauchungsanlagen. Igienair sorgt für sicheren Betrieb und normgerechte Dokumentation.";"136";"Nein"
"/anlagen/raumluftdesinfektion/";"anlagen/raumluftdesinfektion/index.html";"Raumdesinfektion mit Wasserstoffperoxid NF T72-110 03.2019";"58";"Raumluftdesinfektion für RLT-Anlagen und Verdunstungskühler. Igienair reduziert Keimlasten und unterstützt hygienischen Anlagenbetrieb.";"135";"Nein"
"/anlagen/rechenzentrum/";"anlagen/rechenzentrum/index.html";"Rechenzentrum Reinigung: Hygiene & Sicherheit für Ihre Daten";"60";"Hygienereinigung und Inspektion von RLT-Anlagen in Rechenzentren. Igienair schützt sensible IT-Infrastruktur durch saubere Raumluft.";"132";"Nein"
"/anlagen/reinraumqualifizierung/";"anlagen/reinraumqualifizierung/index.html";"Reinraum-qualifizierung vom Experten | Igienair";"47";"Reinraumqualifizierung nach VDI 2083 und ISO 14644. Igienair klassifiziert, prüft und dokumentiert Reinräume für Ihre Branche.";"126";"Nein"
